,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.446021102804163,0.47055290769120967,0.2796197732982151,0.35232478730420874,-0.21979566724574334,0.36286267478897427,0.33412021089324306,0.32223302207612325,0.35185283883225826,0.306027585008573,-0.3179358859194641
bary,-0.446021102804163,1.0,-0.766240196818295,-0.45769714645910725,-0.5446221782959094,0.31906254364701814,-0.5760763663330394,-0.5800409913902509,-0.5208138207917106,-0.5818396890117731,-0.5143541760459878,0.5827484627780958
bertscore,0.47055290769120967,-0.766240196818295,1.0,0.48436747360579563,0.5877564591494074,-0.32245203143273027,0.5943364285315077,0.588534568013515,0.5481881792516442,0.6007047107532313,0.5359049495220136,-0.5815858822783757
bleu,0.2796197732982151,-0.45769714645910725,0.48436747360579563,1.0,0.5764398035131215,-0.21666810232706732,0.5555060497949115,0.5398129047204431,0.6728737402624199,0.5803498714050278,0.8923825352405288,-0.5968029990354535
chrf,0.35232478730420874,-0.5446221782959094,0.5877564591494074,0.5764398035131215,1.0,-0.25528760750936114,0.6585111821623991,0.651086322445592,0.6357272679801559,0.6273719118101716,0.603861477710938,-0.5502182642353127
depth,-0.21979566724574334,0.31906254364701814,-0.32245203143273027,-0.21666810232706732,-0.25528760750936114,1.0,-0.22097763580079227,-0.2469284583725193,-0.24261597065805873,-0.25594878985926683,-0.2305831834922297,0.26601681686328665
meteor,0.36286267478897427,-0.5760763663330394,0.5943364285315077,0.5555060497949115,0.6585111821623991,-0.22097763580079227,1.0,0.6569545846960689,0.6315097620521061,0.6406352383051438,0.6034639756053541,-0.5668615429099317
rouge1,0.33412021089324306,-0.5800409913902509,0.588534568013515,0.5398129047204431,0.651086322445592,-0.2469284583725193,0.6569545846960689,1.0,0.6928150311437895,0.7589360755708224,0.5836714484947172,-0.6162614167282988
rouge2,0.32223302207612325,-0.5208138207917106,0.5481881792516442,0.6728737402624199,0.6357272679801559,-0.24261597065805873,0.6315097620521061,0.6928150311437895,1.0,0.7123124500795098,0.7083478629430946,-0.6481703424310612
rougeL,0.35185283883225826,-0.5818396890117731,0.6007047107532313,0.5803498714050278,0.6273719118101716,-0.25594878985926683,0.6406352383051438,0.7589360755708224,0.7123124500795098,1.0,0.6254524714869503,-0.7007689895947101
sacrebleu,0.306027585008573,-0.5143541760459878,0.5359049495220136,0.8923825352405288,0.603861477710938,-0.2305831834922297,0.6034639756053541,0.5836714484947172,0.7083478629430946,0.6254524714869503,1.0,-0.6375161810252632
ter,-0.3179358859194641,0.5827484627780958,-0.5815858822783757,-0.5968029990354535,-0.5502182642353127,0.26601681686328665,-0.5668615429099317,-0.6162614167282988,-0.6481703424310612,-0.7007689895947101,-0.6375161810252632,1.0
