,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6024350275503462,0.6363155960863192,0.34489124751009376,0.45646622504826656,-0.3752231130285993,0.49432647075771663,0.4295992914354347,0.4296379782085658,0.5038582836312563,0.3992021852286497,-0.39784800965992057
bary,-0.6024350275503462,1.0,-0.9204170713168788,-0.5072795843919292,-0.7348662680642081,0.5096179524763801,-0.7458075015739093,-0.7453194587186994,-0.6751821655371333,-0.7462688843438567,-0.6222654735107197,0.6801258784824602
bertscore,0.6363155960863192,-0.9204170713168788,1.0,0.550300216586425,0.7731879871353005,-0.5731236239522438,0.7777079295387995,0.7706091378414464,0.7037923136125892,0.7761517365384119,0.632830704620418,-0.6654535562039108
bleu,0.34489124751009376,-0.5072795843919292,0.550300216586425,1.0,0.6600225250173545,-0.2561099690512194,0.650283244148361,0.5862382946933576,0.765176442862432,0.6828620034172636,0.9433444942680516,-0.6640631750768452
chrf,0.45646622504826656,-0.7348662680642081,0.7731879871353005,0.6600225250173545,1.0,-0.4231403994434496,0.8605220561656199,0.8451559975688797,0.8358293295714367,0.8256499506792211,0.7243839728031262,-0.6933541313903635
depth,-0.3752231130285993,0.5096179524763801,-0.5731236239522438,-0.2561099690512194,-0.4231403994434496,1.0,-0.388605947313145,-0.4135146822156092,-0.38183557814043684,-0.4020398212824716,-0.26947195345705016,0.3760708618936219
meteor,0.49432647075771663,-0.7458075015739093,0.7777079295387995,0.650283244148361,0.8605220561656199,-0.388605947313145,1.0,0.856860645341555,0.8086047050552705,0.8576507302550413,0.7319454630174573,-0.7068457675378019
rouge1,0.4295992914354347,-0.7453194587186994,0.7706091378414464,0.5862382946933576,0.8451559975688797,-0.4135146822156092,0.856860645341555,1.0,0.8314636362008606,0.8954763823802829,0.6676545825178721,-0.7436153309216693
rouge2,0.4296379782085658,-0.6751821655371333,0.7037923136125892,0.765176442862432,0.8358293295714367,-0.38183557814043684,0.8086047050552705,0.8314636362008606,1.0,0.8786208748661193,0.8204555281606418,-0.7760740166141932
rougeL,0.5038582836312563,-0.7462688843438567,0.7761517365384119,0.6828620034172636,0.8256499506792211,-0.4020398212824716,0.8576507302550413,0.8954763823802829,0.8786208748661193,1.0,0.7631976657431617,-0.8183322168460115
sacrebleu,0.3992021852286497,-0.6222654735107197,0.632830704620418,0.9433444942680516,0.7243839728031262,-0.26947195345705016,0.7319454630174573,0.6676545825178721,0.8204555281606418,0.7631976657431617,1.0,-0.73632539235125
ter,-0.39784800965992057,0.6801258784824602,-0.6654535562039108,-0.6640631750768452,-0.6933541313903635,0.3760708618936219,-0.7068457675378019,-0.7436153309216693,-0.7760740166141932,-0.8183322168460115,-0.73632539235125,1.0
