,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6689298394348281,0.7456374840557993,0.4816966985014478,0.6394029025385339,-0.4307925602197041,0.6094313974929808,0.6089851661386101,0.5888886374064418,0.6490346167432363,0.5234936129293676,-0.5867392665941836
bary,-0.6689298394348281,1.0,-0.9259646000912631,-0.6450823025507235,-0.7906820074358805,0.5467961363111035,-0.8265240724987907,-0.8410004943830136,-0.7841533664090258,-0.8469068539953423,-0.7413862224320694,0.7957315733875782
bertscore,0.7456374840557993,-0.9259646000912631,1.0,0.6986047589523268,0.8285348233683225,-0.5843087293917633,0.8283170140563886,0.8254021023341684,0.8059534141478736,0.8515844009859721,0.7557131586432275,-0.7965489806567235
bleu,0.4816966985014478,-0.6450823025507235,0.6986047589523268,1.0,0.7608567694192111,-0.3889528739316363,0.722849979390134,0.70077124758255,0.8126240221232081,0.7432493433817223,0.927099373332592,-0.7183081003581498
chrf,0.6394029025385339,-0.7906820074358805,0.8285348233683225,0.7608567694192111,1.0,-0.47526317548122965,0.8476040854568818,0.8364926773376387,0.8578618434633223,0.8419160221485309,0.7977364112612865,-0.7413102161287513
depth,-0.4307925602197041,0.5467961363111035,-0.5843087293917633,-0.3889528739316363,-0.47526317548122965,1.0,-0.4286153194183885,-0.46449694741644904,-0.44444760095348657,-0.47913307073302425,-0.39512314102781276,0.5295460865677991
meteor,0.6094313974929808,-0.8265240724987907,0.8283170140563886,0.722849979390134,0.8476040854568818,-0.4286153194183885,1.0,0.8572872500045721,0.8463663371144491,0.8570806198265111,0.8067624037366604,-0.7488417923239229
rouge1,0.6089851661386101,-0.8410004943830136,0.8254021023341684,0.70077124758255,0.8364926773376387,-0.46449694741644904,0.8572872500045721,1.0,0.8871513467136887,0.913586870366481,0.7710188806135488,-0.7995913080325419
rouge2,0.5888886374064418,-0.7841533664090258,0.8059534141478736,0.8126240221232081,0.8578618434633223,-0.44444760095348657,0.8463663371144491,0.8871513467136887,1.0,0.9067699332463599,0.8700255483144878,-0.824640522583608
rougeL,0.6490346167432363,-0.8469068539953423,0.8515844009859721,0.7432493433817223,0.8419160221485309,-0.47913307073302425,0.8570806198265111,0.913586870366481,0.9067699332463599,1.0,0.8149123673779964,-0.8654463381152374
sacrebleu,0.5234936129293676,-0.7413862224320694,0.7557131586432275,0.927099373332592,0.7977364112612865,-0.39512314102781276,0.8067624037366604,0.7710188806135488,0.8700255483144878,0.8149123673779964,1.0,-0.7916260127062629
ter,-0.5867392665941836,0.7957315733875782,-0.7965489806567235,-0.7183081003581498,-0.7413102161287513,0.5295460865677991,-0.7488417923239229,-0.7995913080325419,-0.824640522583608,-0.8654463381152374,-0.7916260127062629,1.0
