,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.5896219436939233,0.6290019625727988,0.33735624057087527,0.4533243646222318,-0.300201997813573,0.488220731026707,0.448237321148158,0.4348361077462346,0.516996074226547,0.4081235131868214,-0.4553268627193967
bary,-0.5896219436939233,1.0,-0.8860222190326893,-0.5937890065470259,-0.7049036263629409,0.442667661392492,-0.7675989591180089,-0.7790132724428901,-0.7289169974266076,-0.7875719664965057,-0.6915703941729928,0.7424238775227392
bertscore,0.6290019625727988,-0.8860222190326893,1.0,0.6771230281595689,0.7826742833350893,-0.49469594612682277,0.8133976578551946,0.7937030614336745,0.7728143833006835,0.8119495632066915,0.7343262623773704,-0.7592646512080146
bleu,0.33735624057087527,-0.5937890065470259,0.6771230281595689,1.0,0.7406132502650576,-0.3828049973686557,0.7208747489916364,0.6867394754269627,0.8235232750953647,0.7141314823688582,0.9423767378894223,-0.7224986131173172
chrf,0.4533243646222318,-0.7049036263629409,0.7826742833350893,0.7406132502650576,1.0,-0.34906484481949546,0.823734947636461,0.8128425963448234,0.8347536164267291,0.7874005714553481,0.7945487061651748,-0.7254814284046576
depth,-0.300201997813573,0.442667661392492,-0.49469594612682277,-0.3828049973686557,-0.34906484481949546,1.0,-0.372964936914922,-0.40622096710355654,-0.41024227256092577,-0.42959750977678723,-0.38762892106735986,0.463283013486757
meteor,0.488220731026707,-0.7675989591180089,0.8133976578551946,0.7208747489916364,0.823734947636461,-0.372964936914922,1.0,0.8367057251407929,0.8294655853273599,0.8307543044228028,0.7817393856991874,-0.7375645741371206
rouge1,0.448237321148158,-0.7790132724428901,0.7937030614336745,0.6867394754269627,0.8128425963448234,-0.40622096710355654,0.8367057251407929,1.0,0.8765534117933859,0.861037932313255,0.7476213715853767,-0.7635751688640813
rouge2,0.4348361077462346,-0.7289169974266076,0.7728143833006835,0.8235232750953647,0.8347536164267291,-0.41024227256092577,0.8294655853273599,0.8765534117933859,1.0,0.8625691747248945,0.8741862646193662,-0.7897652151113721
rougeL,0.516996074226547,-0.7875719664965057,0.8119495632066915,0.7141314823688582,0.7874005714553481,-0.42959750977678723,0.8307543044228028,0.861037932313255,0.8625691747248945,1.0,0.7920233724280091,-0.8606587125062186
sacrebleu,0.4081235131868214,-0.6915703941729928,0.7343262623773704,0.9423767378894223,0.7945487061651748,-0.38762892106735986,0.7817393856991874,0.7476213715853767,0.8741862646193662,0.7920233724280091,1.0,-0.7935541848181203
ter,-0.4553268627193967,0.7424238775227392,-0.7592646512080146,-0.7224986131173172,-0.7254814284046576,0.463283013486757,-0.7375645741371206,-0.7635751688640813,-0.7897652151113721,-0.8606587125062186,-0.7935541848181203,1.0
