,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.4234784497975392,0.4606793622604832,0.2474263916389625,0.31995501856754455,-0.2092445950293099,0.343845261045684,0.3144215830779567,0.304766714479529,0.36609548633604216,0.2835360291536312,-0.3212946653072735
bary,-0.4234784497975392,1.0,-0.7204664166005584,-0.4531271860395313,-0.5233521884878007,0.3091645170678622,-0.5811217645015008,-0.5908961028017418,-0.548156370028864,-0.5995174530223378,-0.5135257909774573,0.557721196756471
bertscore,0.4606793622604832,-0.7204664166005584,1.0,0.5240702921967477,0.5961410081909664,-0.34789694022488776,0.6247751443321005,0.6063659681136968,0.592895896292239,0.6296858594275083,0.5555055072011686,-0.5752016074579049
bleu,0.2474263916389625,-0.4531271860395313,0.5240702921967477,1.0,0.5789089732862205,-0.27840454136550546,0.5604516414585213,0.5342612072772858,0.6700422856692015,0.5612031172167563,0.8942451264555185,-0.5661996910888072
chrf,0.31995501856754455,-0.5233521884878007,0.5961410081909664,0.5789089732862205,1.0,-0.2423299259814262,0.6373716981986728,0.6319285707556987,0.6581182340346289,0.6036993434681929,0.6076902459264342,-0.5387192799677989
depth,-0.2092445950293099,0.3091645170678622,-0.34789694022488776,-0.27840454136550546,-0.2423299259814262,1.0,-0.25830161609581387,-0.28207407585396554,-0.2865902014346128,-0.2985886310964619,-0.27008197437025033,0.3255569043678537
meteor,0.343845261045684,-0.5811217645015008,0.6247751443321005,0.5604516414585213,0.6373716981986728,-0.25830161609581387,1.0,0.6581812239159561,0.6481253939953322,0.6475216882471188,0.5993160762069865,-0.5540385830213078
rouge1,0.3144215830779567,-0.5908961028017418,0.6063659681136968,0.5342612072772858,0.6319285707556987,-0.28207407585396554,0.6581812239159561,1.0,0.7048034965440821,0.7131849222843871,0.566833180420233,-0.5819429585746657
rouge2,0.304766714479529,-0.548156370028864,0.592895896292239,0.6700422856692015,0.6581182340346289,-0.2865902014346128,0.6481253939953322,0.7048034965440821,1.0,0.6997654046986671,0.70370454144397,-0.6026287065131755
rougeL,0.36609548633604216,-0.5995174530223378,0.6296858594275083,0.5612031172167563,0.6036993434681929,-0.2985886310964619,0.6475216882471188,0.7131849222843871,0.6997654046986671,1.0,0.6105932363146007,-0.6835303252134394
sacrebleu,0.2835360291536312,-0.5135257909774573,0.5555055072011686,0.8942451264555185,0.6076902459264342,-0.27008197437025033,0.5993160762069865,0.566833180420233,0.70370454144397,0.6105932363146007,1.0,-0.6064819503262493
ter,-0.3212946653072735,0.557721196756471,-0.5752016074579049,-0.5661996910888072,-0.5387192799677989,0.3255569043678537,-0.5540385830213078,-0.5819429585746657,-0.6026287065131755,-0.6835303252134394,-0.6064819503262493,1.0
