,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6139467014459152,0.6362834175595047,0.3838139443456874,0.46934777318946785,-0.36513174543481336,0.49540165423650884,0.45757144927573906,0.4690824351304944,0.5278691930324629,0.4538594342494492,-0.45121754747871
bary,-0.6139467014459152,1.0,-0.8907420300099713,-0.6539032193112267,-0.7434674579483515,0.5660187649857461,-0.7813831382696126,-0.7903835112602566,-0.7734014284451755,-0.8038698256454899,-0.7384637133135977,0.7488737134485327
bertscore,0.6362834175595047,-0.8907420300099713,1.0,0.6819394737356479,0.7981084033658186,-0.5555725363146294,0.820417252840385,0.8065131232687865,0.7863081673376836,0.8237493797706686,0.7310669537651412,-0.7516874587489578
bleu,0.3838139443456874,-0.6539032193112267,0.6819394737356479,1.0,0.7686019153214326,-0.529268981444135,0.7101565591912455,0.6887641457400985,0.8438540383349713,0.7330640608909167,0.9517336657434055,-0.7339690300837598
chrf,0.46934777318946785,-0.7434674579483515,0.7981084033658186,0.7686019153214326,1.0,-0.4902930654175458,0.8347948486729767,0.8390290597048433,0.863297969688491,0.813730637073456,0.8169673663526541,-0.7329662099535218
depth,-0.36513174543481336,0.5660187649857461,-0.5555725363146294,-0.529268981444135,-0.4902930654175458,1.0,-0.4497144376247817,-0.4844009558984962,-0.5426507352411704,-0.52273550163937,-0.567671213645882,0.5447489880981926
meteor,0.49540165423650884,-0.7813831382696126,0.820417252840385,0.7101565591912455,0.8347948486729767,-0.4497144376247817,1.0,0.8620763802274778,0.833756706359972,0.8390556926714968,0.7563073368404392,-0.7343703700690136
rouge1,0.45757144927573906,-0.7903835112602566,0.8065131232687865,0.6887641457400985,0.8390290597048433,-0.4844009558984962,0.8620763802274778,1.0,0.872150776937029,0.8722332057069099,0.7387608406557334,-0.7644189231847258
rouge2,0.4690824351304944,-0.7734014284451755,0.7863081673376836,0.8438540383349713,0.863297969688491,-0.5426507352411704,0.833756706359972,0.872150776937029,1.0,0.871758818979315,0.8846723160651597,-0.7988167033528276
rougeL,0.5278691930324629,-0.8038698256454899,0.8237493797706686,0.7330640608909167,0.813730637073456,-0.52273550163937,0.8390556926714968,0.8722332057069099,0.871758818979315,1.0,0.7923961136235518,-0.8544106873430514
sacrebleu,0.4538594342494492,-0.7384637133135977,0.7310669537651412,0.9517336657434055,0.8169673663526541,-0.567671213645882,0.7563073368404392,0.7387608406557334,0.8846723160651597,0.7923961136235518,1.0,-0.7886048398358207
ter,-0.45121754747871,0.7488737134485327,-0.7516874587489578,-0.7339690300837598,-0.7329662099535218,0.5447489880981926,-0.7343703700690136,-0.7644189231847258,-0.7988167033528276,-0.8544106873430514,-0.7886048398358207,1.0
