,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6441757602522569,0.7026314689298969,0.43199248676435104,0.5804553275743742,-0.4272037098901896,0.5410050974686883,0.507704940902426,0.5265031192061032,0.5404556924710612,0.47092046849464436,-0.44322055216887235
bary,-0.6441757602522569,1.0,-0.9105461389572638,-0.6666163315934801,-0.7951371339903308,0.6144725231458321,-0.7759074863627183,-0.803633506366935,-0.7832180252723009,-0.8231977267388052,-0.7224269392562641,0.7618073993434827
bertscore,0.7026314689298969,-0.9105461389572638,1.0,0.6818341164575291,0.8361364067689347,-0.5863746099811905,0.8169105992730044,0.8319181370751221,0.7871355792457062,0.8475705440122162,0.7160237801518804,-0.7280657825153891
bleu,0.43199248676435104,-0.6666163315934801,0.6818341164575291,1.0,0.7753346995856739,-0.44618579143809595,0.7351131172873635,0.718908176490177,0.855575207427414,0.7676003316603984,0.9631474350863821,-0.7402639411778149
chrf,0.5804553275743742,-0.7951371339903308,0.8361364067689347,0.7753346995856739,1.0,-0.5384074821489807,0.8528596281516811,0.8630811266437965,0.8552672644446218,0.8658974846637292,0.7930828582369445,-0.7377266555012459
depth,-0.4272037098901896,0.6144725231458321,-0.5863746099811905,-0.44618579143809595,-0.5384074821489807,1.0,-0.4693049468235752,-0.5236359770681566,-0.5228472479334471,-0.5281604065481568,-0.4664739804585215,0.5098484790279131
meteor,0.5410050974686883,-0.7759074863627183,0.8169105992730044,0.7351131172873635,0.8528596281516811,-0.4693049468235752,1.0,0.8746106023844773,0.8515910986297909,0.8674788967910081,0.7639624822097146,-0.761376733223556
rouge1,0.507704940902426,-0.803633506366935,0.8319181370751221,0.718908176490177,0.8630811266437965,-0.5236359770681566,0.8746106023844773,1.0,0.8545232803113676,0.941773492955326,0.7399924112503914,-0.8108155908878125
rouge2,0.5265031192061032,-0.7832180252723009,0.7871355792457062,0.855575207427414,0.8552672644446218,-0.5228472479334471,0.8515910986297909,0.8545232803113676,1.0,0.8975229308002233,0.8803993497378294,-0.823016568095541
rougeL,0.5404556924710612,-0.8231977267388052,0.8475705440122162,0.7676003316603984,0.8658974846637292,-0.5281604065481568,0.8674788967910081,0.941773492955326,0.8975229308002233,1.0,0.7996640398976245,-0.8642826883360475
sacrebleu,0.47092046849464436,-0.7224269392562641,0.7160237801518804,0.9631474350863821,0.7930828582369445,-0.4664739804585215,0.7639624822097146,0.7399924112503914,0.8803993497378294,0.7996640398976245,1.0,-0.7786121595753722
ter,-0.44322055216887235,0.7618073993434827,-0.7280657825153891,-0.7402639411778149,-0.7377266555012459,0.5098484790279131,-0.761376733223556,-0.8108155908878125,-0.823016568095541,-0.8642826883360475,-0.7786121595753722,1.0
