,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6178112348973058,0.650174470722036,0.3821882394011008,0.4964104687277581,-0.32060696271248884,0.515443590419047,0.4730149110971126,0.4586996914202855,0.5004568079605193,0.4381151598847866,-0.45807299170321597
bary,-0.6178112348973058,1.0,-0.9233470964753903,-0.6016019906291991,-0.7291342769714484,0.4555936612027602,-0.7649968032127795,-0.7683620177637068,-0.7039390106208469,-0.769326499217207,-0.6944011267538074,0.7691771810821699
bertscore,0.650174470722036,-0.9233470964753903,1.0,0.6311454105012696,0.7739205729819667,-0.4579388189139409,0.7831433883931769,0.7739851775884109,0.7354191869409545,0.7869379429742561,0.7165813708550203,-0.7666384203174461
bleu,0.3821882394011008,-0.6016019906291991,0.6311454105012696,1.0,0.7298183247505289,-0.3022046584351727,0.7074477383535894,0.6930469827413548,0.8172033472608219,0.7352301119035343,0.9434623771530136,-0.7492903162119114
chrf,0.4964104687277581,-0.7291342769714484,0.7739205729819667,0.7298183247505289,1.0,-0.36875887516231665,0.8381413821625745,0.8302810507509386,0.8188043841868823,0.8067437872051775,0.7881841560263451,-0.7367156573280262
depth,-0.32060696271248884,0.4555936612027602,-0.4579388189139409,-0.3022046584351727,-0.36875887516231665,1.0,-0.3170181803559572,-0.356351208808358,-0.3502824294654987,-0.3667707287799109,-0.3331750383334097,0.3797263407143397
meteor,0.515443590419047,-0.7649968032127795,0.7831433883931769,0.7074477383535894,0.8381413821625745,-0.3170181803559572,1.0,0.8366012830125257,0.8125545570405635,0.8218242238595534,0.7848829196278732,-0.7519094124253546
rouge1,0.4730149110971126,-0.7683620177637068,0.7739851775884109,0.6930469827413548,0.8302810507509386,-0.356351208808358,0.8366012830125257,1.0,0.8692962050741107,0.8979309646629177,0.7671612649356434,-0.8038821901785043
rouge2,0.4586996914202855,-0.7039390106208469,0.7354191869409545,0.8172033472608219,0.8188043841868823,-0.3502824294654987,0.8125545570405635,0.8692962050741107,1.0,0.8798711087539725,0.8727054062225159,-0.8322445237438826
rougeL,0.5004568079605193,-0.769326499217207,0.7869379429742561,0.7352301119035343,0.8067437872051775,-0.3667707287799109,0.8218242238595534,0.8979309646629177,0.8798711087539725,1.0,0.8084274388933085,-0.8774866312931693
sacrebleu,0.4381151598847866,-0.6944011267538074,0.7165813708550203,0.9434623771530136,0.7881841560263451,-0.3331750383334097,0.7848829196278732,0.7671612649356434,0.8727054062225159,0.8084274388933085,1.0,-0.8151972149338919
ter,-0.45807299170321597,0.7691771810821699,-0.7666384203174461,-0.7492903162119114,-0.7367156573280262,0.3797263407143397,-0.7519094124253546,-0.8038821901785043,-0.8322445237438826,-0.8774866312931693,-0.8151972149338919,1.0
