,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.48701730190455234,0.5581573653935852,0.3592674673740318,0.46166923798742465,-0.30311861931036693,0.4375501199248789,0.43969277206047763,0.4236835000159155,0.47029189441342417,0.3680450114413008,-0.42013786762852384
bary,-0.48701730190455234,1.0,-0.771485710285313,-0.5070483171154624,-0.607454194353099,0.3880083949412326,-0.6340961602498993,-0.6513670514729728,-0.5972450170968895,-0.6629782957027734,-0.5573607286489786,0.6025810445483611
bertscore,0.5581573653935852,-0.771485710285313,1.0,0.5500785112687712,0.6430803803626796,-0.4216903764221081,0.641537887642401,0.6378328970658984,0.618565144015453,0.6677635324812218,0.571316292442671,-0.606672394573461
bleu,0.3592674673740318,-0.5070483171154624,0.5500785112687712,1.0,0.6109686240229883,-0.28666153415311907,0.579000264771033,0.5586283799192316,0.6784300576714707,0.5941363778806499,0.8657339927723604,-0.5759157556787905
chrf,0.46166923798742465,-0.607454194353099,0.6430803803626796,0.6109686240229883,1.0,-0.33606494502684736,0.6716432785222972,0.6559665923064615,0.6767899578112418,0.6621564799833474,0.6129642664189917,-0.5599713374693067
depth,-0.30311861931036693,0.3880083949412326,-0.4216903764221081,-0.28666153415311907,-0.33606494502684736,1.0,-0.2988070892362946,-0.33061526681213466,-0.3148974261944876,-0.34064238059862023,-0.27414178921961535,0.37869258971779196
meteor,0.4375501199248789,-0.6340961602498993,0.641537887642401,0.579000264771033,0.6716432785222972,-0.2988070892362946,1.0,0.6802647603266486,0.6653715645603576,0.6825389052464047,0.6243820288497404,-0.5702151445705814
rouge1,0.43969277206047763,-0.6513670514729728,0.6378328970658984,0.5586283799192316,0.6559665923064615,-0.33061526681213466,0.6802647603266486,1.0,0.7162942860870877,0.7856038492721633,0.5932732113431177,-0.618914156243186
rouge2,0.4236835000159155,-0.5972450170968895,0.618565144015453,0.6784300576714707,0.6767899578112418,-0.3148974261944876,0.6653715645603576,0.7162942860870877,1.0,0.7476040193266769,0.7113246537460673,-0.6472081297257006
rougeL,0.47029189441342417,-0.6629782957027734,0.6677635324812218,0.5941363778806499,0.6621564799833474,-0.34064238059862023,0.6825389052464047,0.7856038492721633,0.7476040193266769,1.0,0.638658750638962,-0.6885808895463778
sacrebleu,0.3680450114413008,-0.5573607286489786,0.571316292442671,0.8657339927723604,0.6129642664189917,-0.27414178921961535,0.6243820288497404,0.5932732113431177,0.7113246537460673,0.638658750638962,1.0,-0.6119706033011597
ter,-0.42013786762852384,0.6025810445483611,-0.606672394573461,-0.5759157556787905,-0.5599713374693067,0.37869258971779196,-0.5702151445705814,-0.618914156243186,-0.6472081297257006,-0.6885808895463778,-0.6119706033011597,1.0
