,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.42978533094812166,0.4674290825453616,0.21094037076218178,0.31089956555072834,-0.2345770508561206,0.3294102619975476,0.29351948787628296,0.2809842174508309,0.3398311752494369,0.2638056447517133,-0.2631051205746766
bary,-0.42978533094812166,1.0,-0.7477127523639151,-0.36195019966055747,-0.5365959621773575,0.30116279069767443,-0.5484122431486831,-0.5445093850354134,-0.4884790686919348,-0.5422121193789516,-0.4746763519701644,0.5034137118633785
bertscore,0.4674290825453616,-0.7477127523639151,1.0,0.4067218834052902,0.5683363148479427,-0.34312547917199077,0.5729601954063169,0.5590701030858206,0.5216993207951339,0.5683150473035103,0.4861783905457163,-0.4958405839731138
bleu,0.21094037076218178,-0.36195019966055747,0.4067218834052902,1.0,0.48543219516600017,-0.16523377946825515,0.4950058148219671,0.4503532804184438,0.5884500141764725,0.5206276793386577,0.7924064286417161,-0.5068709166255773
chrf,0.31089956555072834,-0.5365959621773575,0.5683363148479427,0.48543219516600017,1.0,-0.24629440327114746,0.6600856188797936,0.6410301695085174,0.6361903173086354,0.6023974276799826,0.5446854267666902,-0.499376424668908
depth,-0.2345770508561206,0.30116279069767443,-0.34312547917199077,-0.16523377946825515,-0.24629440327114746,1.0,-0.2333141657053,-0.24666138115118177,-0.2220230891531606,-0.23399776335511493,-0.1759300700344969,0.21963356642020357
meteor,0.3294102619975476,-0.5484122431486831,0.5729601954063169,0.4950058148219671,0.6600856188797936,-0.2333141657053,1.0,0.65339794178884,0.620763606222406,0.6497713126764821,0.5826857728369828,-0.5311300648816301
rouge1,0.29351948787628296,-0.5445093850354134,0.5590701030858206,0.4503532804184438,0.6410301695085174,-0.24666138115118177,0.65339794178884,1.0,0.6700774213416212,0.721117041256839,0.514673058626498,-0.5702881216499006
rouge2,0.2809842174508309,-0.4884790686919348,0.5216993207951339,0.5884500141764725,0.6361903173086354,-0.2220230891531606,0.620763606222406,0.6700774213416212,1.0,0.6948036696447557,0.6391301750100044,-0.5902492279106634
rougeL,0.3398311752494369,-0.5422121193789516,0.5683150473035103,0.5206276793386577,0.6023974276799826,-0.23399776335511493,0.6497713126764821,0.721117041256839,0.6948036696447557,1.0,0.589629634569236,-0.6436837628072752
sacrebleu,0.2638056447517133,-0.4746763519701644,0.4861783905457163,0.7924064286417161,0.5446854267666902,-0.1759300700344969,0.5826857728369828,0.514673058626498,0.6391301750100044,0.589629634569236,1.0,-0.570663772399603
ter,-0.2631051205746766,0.5034137118633785,-0.4958405839731138,-0.5068709166255773,-0.499376424668908,0.21963356642020357,-0.5311300648816301,-0.5702881216499006,-0.5902492279106634,-0.6436837628072752,-0.570663772399603,1.0
