,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.44110938608992595,0.5018736165585277,0.28223218776239695,0.3877228335822573,-0.25474483941650333,0.37429875042730737,0.34251867963917515,0.3459663441916829,0.35871438520988064,0.3035380579052488,-0.2894342650036376
bary,-0.44110938608992595,1.0,-0.7680119096317286,-0.5117874421376633,-0.5901479195457907,0.3714477508545691,-0.5973866670236754,-0.6128104025356718,-0.5822428921516151,-0.6230315332124879,-0.5504542146196986,0.5733097273350991
bertscore,0.5018736165585277,-0.7680119096317286,1.0,0.55472846753555,0.6388060009652635,-0.39873084747233994,0.6314380384984568,0.6475476677523714,0.6189155669920662,0.6688038779368582,0.5762653487316365,-0.5733995392698423
bleu,0.28223218776239695,-0.5117874421376633,0.55472846753555,1.0,0.6250771329014498,-0.2710663529561329,0.5992682171705297,0.586355250587952,0.7238670552266785,0.6359389613142601,0.9098865006458877,-0.611196938473527
chrf,0.3877228335822573,-0.5901479195457907,0.6388060009652635,0.6250771329014498,1.0,-0.3056730040954815,0.6744103616675445,0.669027515097112,0.6946841351514089,0.6717621468405995,0.6411121764272864,-0.5696976771658494
depth,-0.25474483941650333,0.3714477508545691,-0.39873084747233994,-0.2710663529561329,-0.3056730040954815,1.0,-0.30684084304028225,-0.32836029660596816,-0.2972404646909575,-0.3126411262113759,-0.2649144617748422,0.30731118275194363
meteor,0.37429875042730737,-0.5973866670236754,0.6314380384984568,0.5992682171705297,0.6744103616675445,-0.30684084304028225,1.0,0.6893705003066677,0.6790403804893621,0.6807265096373131,0.6285977288275518,-0.6090578433682565
rouge1,0.34251867963917515,-0.6128104025356718,0.6475476677523714,0.586355250587952,0.669027515097112,-0.32836029660596816,0.6893705003066677,1.0,0.7003667236742656,0.7928380061381537,0.5992954743039032,-0.6470493182788641
rouge2,0.3459663441916829,-0.5822428921516151,0.6189155669920662,0.7238670552266785,0.6946841351514089,-0.2972404646909575,0.6790403804893621,0.7003667236742656,1.0,0.7533805839242008,0.7474814933347442,-0.6657990783595502
rougeL,0.35871438520988064,-0.6230315332124879,0.6688038779368582,0.6359389613142601,0.6717621468405995,-0.3126411262113759,0.6807265096373131,0.7928380061381537,0.7533805839242008,1.0,0.6630905966158741,-0.7205348414591336
sacrebleu,0.3035380579052488,-0.5504542146196986,0.5762653487316365,0.9098865006458877,0.6411121764272864,-0.2649144617748422,0.6285977288275518,0.5992954743039032,0.7474814933347442,0.6630905966158741,1.0,-0.6404254727216382
ter,-0.2894342650036376,0.5733097273350991,-0.5733995392698423,-0.611196938473527,-0.5696976771658494,0.30731118275194363,-0.6090578433682565,-0.6470493182788641,-0.6657990783595502,-0.7205348414591336,-0.6404254727216382,1.0
