,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.49193713263480704,0.4860592895476616,0.25270876447933943,0.38512650140557114,-0.2509200102223358,0.392532083600393,0.3612520256281922,0.3341202209221776,0.3589358368927955,0.303899300633158,-0.29867693623752195
bary,-0.49193713263480704,1.0,-0.7819320214669052,-0.31849347798028443,-0.5245463838487094,0.321594684385382,-0.547832560917739,-0.5594649543037821,-0.48446851538370334,-0.49856683543991254,-0.4492004948132218,0.45402963897265597
bertscore,0.4860592895476616,-0.7819320214669052,1.0,0.3606102290290943,0.564030155890621,-0.34009711219013544,0.5787955376757352,0.5722822115133599,0.521929815007579,0.49383944407704566,0.45509177454207045,-0.42914847991733973
bleu,0.25270876447933943,-0.31849347798028443,0.3606102290290943,1.0,0.46925493036206345,-0.1860817159574182,0.46248121086908117,0.4320055559390384,0.5312014608722337,0.3759110906549446,0.6849197295763269,-0.3650452821233782
chrf,0.38512650140557114,-0.5245463838487094,0.564030155890621,0.46925493036206345,1.0,-0.2435854842831587,0.6623304031594424,0.6269060069739585,0.6319530328078667,0.4681270471521843,0.5169054839746974,-0.3665849857710013
depth,-0.2509200102223358,0.321594684385382,-0.34009711219013544,-0.1860817159574182,-0.2435854842831587,1.0,-0.2495759048997306,-0.2662045728143096,-0.22591588853751188,-0.17738607265651735,-0.15490487469249278,0.19761976485705304
meteor,0.392532083600393,-0.547832560917739,0.5787955376757352,0.46248121086908117,0.6623304031594424,-0.2495759048997306,1.0,0.6510668714277683,0.6555457721460629,0.5377608297276709,0.55593257218922,-0.4183457715112452
rouge1,0.3612520256281922,-0.5594649543037821,0.5722822115133599,0.4320055559390384,0.6269060069739585,-0.2662045728143096,0.6510668714277683,1.0,0.6359023093600918,0.5605182215163321,0.477902808201883,-0.44681634003863513
rouge2,0.3341202209221776,-0.48446851538370334,0.521929815007579,0.5312014608722337,0.6319530328078667,-0.22591588853751188,0.6555457721460629,0.6359023093600918,1.0,0.5520019167099407,0.6011701488406664,-0.48268285001919464
rougeL,0.3589358368927955,-0.49856683543991254,0.49383944407704566,0.3759110906549446,0.4681270471521843,-0.17738607265651735,0.5377608297276709,0.5605182215163321,0.5520019167099407,1.0,0.48375334359676847,-0.5284619675791624
sacrebleu,0.303899300633158,-0.4492004948132218,0.45509177454207045,0.6849197295763269,0.5169054839746974,-0.15490487469249278,0.55593257218922,0.477902808201883,0.6011701488406664,0.48375334359676847,1.0,-0.43113489265494687
ter,-0.29867693623752195,0.45402963897265597,-0.42914847991733973,-0.3650452821233782,-0.3665849857710013,0.19761976485705304,-0.4183457715112452,-0.44681634003863513,-0.48268285001919464,-0.5284619675791624,-0.43113489265494687,1.0
