,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6856429522897606,0.7389260692429486,0.5149372716516427,0.657487890920553,-0.48491139729638755,0.616066852591276,0.6250044711781962,0.6138301831236441,0.6660970335595744,0.538037498010133,-0.5927992396256375
bary,-0.6856429522897606,1.0,-0.9237614833380888,-0.6883753539740534,-0.815410106374909,0.6416354528088312,-0.822784547994705,-0.8438246397970947,-0.8022434072919206,-0.8566277617679839,-0.7379903871401623,0.7951294582722336
bertscore,0.7389260692429486,-0.9237614833380888,1.0,0.6929009207319667,0.8367233525582434,-0.6086995071691974,0.8200216301067008,0.8329127323383012,0.7947186739493055,0.8503675590314483,0.7104311225361889,-0.7767090135731979
bleu,0.5149372716516427,-0.6883753539740534,0.6929009207319667,1.0,0.7796595152262369,-0.5552025637799028,0.728515019180883,0.7027025954049128,0.8487811508343885,0.7659455653997977,0.96648099441679,-0.7434001521341751
chrf,0.657487890920553,-0.815410106374909,0.8367233525582434,0.7796595152262369,1.0,-0.5978958131216787,0.8505657796612388,0.8501542138159339,0.8666828481148007,0.8631802929761903,0.7886485096678616,-0.7636966063579865
depth,-0.48491139729638755,0.6416354528088312,-0.6086995071691974,-0.5552025637799028,-0.5978958131216787,1.0,-0.4813692083146137,-0.5525978960270141,-0.6021952400060666,-0.5785244076526627,-0.57559236864911,0.6131917529116234
meteor,0.616066852591276,-0.822784547994705,0.8200216301067008,0.728515019180883,0.8505657796612388,-0.4813692083146137,1.0,0.8595348982437897,0.8312465118888004,0.8607743265382755,0.7648260107467291,-0.7468107714826989
rouge1,0.6250044711781962,-0.8438246397970947,0.8329127323383012,0.7027025954049128,0.8501542138159339,-0.5525978960270141,0.8595348982437897,1.0,0.874401023440042,0.9285715079300879,0.7363497888388214,-0.7963291549084878
rouge2,0.6138301831236441,-0.8022434072919206,0.7947186739493055,0.8487811508343885,0.8666828481148007,-0.6021952400060666,0.8312465118888004,0.874401023440042,1.0,0.91146264118112,0.8761785006049831,-0.8418972105036842
rougeL,0.6660970335595744,-0.8566277617679839,0.8503675590314483,0.7659455653997977,0.8631802929761903,-0.5785244076526627,0.8607743265382755,0.9285715079300879,0.91146264118112,1.0,0.799649711509026,-0.8603289772258581
sacrebleu,0.538037498010133,-0.7379903871401623,0.7104311225361889,0.96648099441679,0.7886485096678616,-0.57559236864911,0.7648260107467291,0.7363497888388214,0.8761785006049831,0.799649711509026,1.0,-0.7814231317364163
ter,-0.5927992396256375,0.7951294582722336,-0.7767090135731979,-0.7434001521341751,-0.7636966063579865,0.6131917529116234,-0.7468107714826989,-0.7963291549084878,-0.8418972105036842,-0.8603289772258581,-0.7814231317364163,1.0
