,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6257512921773448,0.656214549985488,0.4136899284686171,0.5340869989112441,-0.35332249658739967,0.528706393380317,0.4833686507217921,0.49116446074175585,0.5119772570062852,0.46334228559048607,-0.44804921037083884
bary,-0.6257512921773448,1.0,-0.9239665513886246,-0.6395114220235288,-0.7712074725329494,0.5480130076798773,-0.7881671210534839,-0.7756553784396737,-0.7359426076851873,-0.7971698898991726,-0.7059836907794049,0.7791116689404887
bertscore,0.656214549985488,-0.9239665513886246,1.0,0.640562625926539,0.7972144606510753,-0.521993886694817,0.8012617758351568,0.7893577138753965,0.743280686829077,0.810311353389926,0.6961157354173643,-0.7545315105405361
bleu,0.4136899284686171,-0.6395114220235288,0.640562625926539,1.0,0.750679489107184,-0.3984612239454798,0.7152006856866377,0.6934317618701241,0.8200989494128393,0.7467752151100066,0.9649564723547978,-0.7278273372404727
chrf,0.5340869989112441,-0.7712074725329494,0.7972144606510753,0.750679489107184,1.0,-0.48898459137416755,0.8593317972709177,0.853623754239546,0.8549075138113575,0.8417820765569213,0.7922942232141397,-0.7367301723689305
depth,-0.35332249658739967,0.5480130076798773,-0.521993886694817,-0.3984612239454798,-0.48898459137416755,1.0,-0.4013692630484821,-0.4437596245867806,-0.48116159004787795,-0.4708262198503893,-0.42576020619363136,0.48557770399332506
meteor,0.528706393380317,-0.7881671210534839,0.8012617758351568,0.7152006856866377,0.8593317972709177,-0.4013692630484821,1.0,0.8605585453356328,0.8279911536431651,0.8434282591307516,0.7670543097655174,-0.7266702947191247
rouge1,0.4833686507217921,-0.7756553784396737,0.7893577138753965,0.6934317618701241,0.853623754239546,-0.4437596245867806,0.8605585453356328,1.0,0.8680291624484909,0.915963752181554,0.7361007400030164,-0.7685626068200953
rouge2,0.49116446074175585,-0.7359426076851873,0.743280686829077,0.8200989494128393,0.8549075138113575,-0.48116159004787795,0.8279911536431651,0.8680291624484909,1.0,0.8858975017561581,0.8553794272984944,-0.8073706908764459
rougeL,0.5119772570062852,-0.7971698898991726,0.810311353389926,0.7467752151100066,0.8417820765569213,-0.4708262198503893,0.8434282591307516,0.915963752181554,0.8858975017561581,1.0,0.7877643363021,-0.8512356500728827
sacrebleu,0.46334228559048607,-0.7059836907794049,0.6961157354173643,0.9649564723547978,0.7922942232141397,-0.42576020619363136,0.7670543097655174,0.7361007400030164,0.8553794272984944,0.7877643363021,1.0,-0.7672003777834103
ter,-0.44804921037083884,0.7791116689404887,-0.7545315105405361,-0.7278273372404727,-0.7367301723689305,0.48557770399332506,-0.7266702947191247,-0.7685626068200953,-0.8073706908764459,-0.8512356500728827,-0.7672003777834103,1.0
