,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.5935396341005096,0.6365025535340173,0.28355639981223724,0.43838473428076713,-0.338293238908834,0.4699295210350818,0.4191104933106112,0.39682213369940456,0.48004325311157736,0.3774272401513563,-0.3783724865976303
bary,-0.5935396341005096,1.0,-0.9098118024246615,-0.46676675910879367,-0.721104135262822,0.4258465884320877,-0.7365766837149365,-0.7313586268733137,-0.6683146826018201,-0.726615308275097,-0.6528024562619136,0.6840824273822032
bertscore,0.6365025535340173,-0.9098118024246615,1.0,0.5220596040220961,0.7568709676096818,-0.4867146533357204,0.7664157336291153,0.7491008856614779,0.7048644210936807,0.7546013941997708,0.663265127276597,-0.6774865429637451
bleu,0.28355639981223724,-0.46676675910879367,0.5220596040220961,1.0,0.6127654739366543,-0.2230870787903783,0.6232109787583915,0.5685781125395859,0.7202391804207592,0.646920243968732,0.8685535381275475,-0.638692851701932
chrf,0.43838473428076713,-0.721104135262822,0.7568709676096818,0.6127654739366543,1.0,-0.3576570488335194,0.8451265517598129,0.8274446764346481,0.8206242571488367,0.7867782674856201,0.731000052308264,-0.6796322250501757
depth,-0.338293238908834,0.4258465884320877,-0.4867146533357204,-0.2230870787903783,-0.3576570488335194,1.0,-0.3394548189251323,-0.3550132427692264,-0.3181522942072183,-0.3371340762298434,-0.2563389247518308,0.3185186253348595
meteor,0.4699295210350818,-0.7365766837149365,0.7664157336291153,0.6232109787583915,0.8451265517598129,-0.3394548189251323,1.0,0.8349539733551996,0.8013564508881922,0.8317629214401339,0.7675339205257501,-0.7167862415014328
rouge1,0.4191104933106112,-0.7313586268733137,0.7491008856614779,0.5685781125395859,0.8274446764346481,-0.3550132427692264,0.8349539733551996,1.0,0.8482239828221344,0.8715333183913562,0.697860662372582,-0.7575486858496334
rouge2,0.39682213369940456,-0.6683146826018201,0.7048644210936807,0.7202391804207592,0.8206242571488367,-0.3181522942072183,0.8013564508881922,0.8482239828221344,1.0,0.8690257280821274,0.81446846572694,-0.7774703847560014
rougeL,0.48004325311157736,-0.726615308275097,0.7546013941997708,0.646920243968732,0.7867782674856201,-0.3371340762298434,0.8317629214401339,0.8715333183913562,0.8690257280821274,1.0,0.7739728773014277,-0.8282815831998745
sacrebleu,0.3774272401513563,-0.6528024562619136,0.663265127276597,0.8685535381275475,0.731000052308264,-0.2563389247518308,0.7675339205257501,0.697860662372582,0.81446846572694,0.7739728773014277,1.0,-0.7552809473721411
ter,-0.3783724865976303,0.6840824273822032,-0.6774865429637451,-0.638692851701932,-0.6796322250501757,0.3185186253348595,-0.7167862415014328,-0.7575486858496334,-0.7774703847560014,-0.8282815831998745,-0.7552809473721411,1.0
