,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6172275951554467,0.6864732542548616,0.3886293965104215,0.5454161711349962,-0.36391120518819264,0.529248271362763,0.4859930444899364,0.48603613236533105,0.5085861428573203,0.4323019750011489,-0.4184207907363253
bary,-0.6172275951554467,1.0,-0.9251222290272527,-0.653611365177337,-0.7740940192144417,0.5254788369843196,-0.7832607249297787,-0.8020792304808362,-0.767549526487979,-0.808642055346461,-0.7230892129955933,0.756678291041661
bertscore,0.6864732542548616,-0.9251222290272527,1.0,0.7025354854752546,0.8181037603567479,-0.5590530980338446,0.8160678894745851,0.8285944019583571,0.7984370762183904,0.847617453449347,0.7488286171955574,-0.757098841591707
bleu,0.3886293965104215,-0.653611365177337,0.7025354854752546,1.0,0.7792242894606449,-0.37238978569255493,0.7532567977324592,0.7408652853400132,0.8587171022615536,0.7830530204402351,0.9509237020051108,-0.7595422107958958
chrf,0.5454161711349962,-0.7740940192144417,0.8181037603567479,0.7792242894606449,1.0,-0.4301837734091705,0.8437307273242909,0.843603035111307,0.8588923904233621,0.845090721800415,0.8113837787542115,-0.7529357494565946
depth,-0.36391120518819264,0.5254788369843196,-0.5590530980338446,-0.37238978569255493,-0.4301837734091705,1.0,-0.4363711584227545,-0.4685910616104294,-0.42106556199762085,-0.4456905469613189,-0.3782229889421396,0.4338227343475103
meteor,0.529248271362763,-0.7832607249297787,0.8160678894745851,0.7532567977324592,0.8437307273242909,-0.4363711584227545,1.0,0.862246356256892,0.8562818159300629,0.8536143228313934,0.804738059071413,-0.7940939886826819
rouge1,0.4859930444899364,-0.8020792304808362,0.8285944019583571,0.7408652853400132,0.843603035111307,-0.4685910616104294,0.862246356256892,1.0,0.8680333194418056,0.9265476959349718,0.7721172138749786,-0.8296966934841907
rouge2,0.48603613236533105,-0.767549526487979,0.7984370762183904,0.8587171022615536,0.8588923904233621,-0.42106556199762085,0.8562818159300629,0.8680333194418056,1.0,0.9040548867720125,0.8929830578467957,-0.8375922472540605
rougeL,0.5085861428573203,-0.808642055346461,0.847617453449347,0.7830530204402351,0.845090721800415,-0.4456905469613189,0.8536143228313934,0.9265476959349718,0.9040548867720125,1.0,0.8257824552130386,-0.8827823550586628
sacrebleu,0.4323019750011489,-0.7230892129955933,0.7488286171955574,0.9509237020051108,0.8113837787542115,-0.3782229889421396,0.804738059071413,0.7721172138749786,0.8929830578467957,0.8257824552130386,1.0,-0.8100257093572476
ter,-0.4184207907363253,0.756678291041661,-0.757098841591707,-0.7595422107958958,-0.7529357494565946,0.4338227343475103,-0.7940939886826819,-0.8296966934841907,-0.8375922472540605,-0.8827823550586628,-0.8100257093572476,1.0
