,human_scores,bary,bertscore,bleu,chrf,depth,meteor,rouge1,rouge2,rougeL,sacrebleu,ter
human_scores,1.0,-0.6726012018077682,0.668014748589304,0.3248349279401434,0.5424494110540622,-0.3653106811109547,0.554990185511438,0.508218423366333,0.4681324470884733,0.5032610221157386,0.4402371727145184,-0.4248044362379624
bary,-0.6726012018077682,1.0,-0.9324302236750938,-0.4031970542100851,-0.7019304225186578,0.45686515946433864,-0.7300854113762295,-0.7371130137164456,-0.6447113641705913,-0.668922944559255,-0.6239665743041595,0.6256732783659453
bertscore,0.668014748589304,-0.9324302236750938,1.0,0.45744464872773594,0.7453548503480104,-0.4813153330937189,0.7618044582830905,0.7538562158662586,0.6924089363799715,0.6679297087775806,0.6314100596845449,-0.5946265602809288
bleu,0.3248349279401434,-0.4031970542100851,0.45744464872773594,1.0,0.5849288447149263,-0.24516713033701196,0.5771016724691651,0.5429861624848672,0.6442585606641127,0.46915060684752363,0.7710494936539896,-0.4591606983170678
chrf,0.5424494110540622,-0.7019304225186578,0.7453548503480104,0.5849288447149263,1.0,-0.3526879413336322,0.8444893190297644,0.8115024290568517,0.8112172983245476,0.6399852404375629,0.701056709115945,-0.5137141119411214
depth,-0.3653106811109547,0.45686515946433864,-0.4813153330937189,-0.24516713033701196,-0.3526879413336322,1.0,-0.36319345975225925,-0.38402959490253274,-0.32465752856518887,-0.25742457436967664,-0.22673714366517134,0.28784840129966244
meteor,0.554990185511438,-0.7300854113762295,0.7618044582830905,0.5771016724691651,0.8444893190297644,-0.36319345975225925,1.0,0.8280993070810594,0.8327933032101715,0.7157553594372059,0.7441564010995388,-0.5756565955702979
rouge1,0.508218423366333,-0.7371130137164456,0.7538562158662586,0.5429861624848672,0.8115024290568517,-0.38402959490253274,0.8280993070810594,1.0,0.8117029941219905,0.7394479302671908,0.6536376068977205,-0.6203218510963974
rouge2,0.4681324470884733,-0.6447113641705913,0.6924089363799715,0.6442585606641127,0.8112172983245476,-0.32465752856518887,0.8327933032101715,0.8117029941219905,1.0,0.7262504362797844,0.7737689377695788,-0.6483072438062711
rougeL,0.5032610221157386,-0.668922944559255,0.6679297087775806,0.46915060684752363,0.6399852404375629,-0.25742457436967664,0.7157553594372059,0.7394479302671908,0.7262504362797844,1.0,0.659439650176424,-0.7027359558841103
sacrebleu,0.4402371727145184,-0.6239665743041595,0.6314100596845449,0.7710494936539896,0.701056709115945,-0.22673714366517134,0.7441564010995388,0.6536376068977205,0.7737689377695788,0.659439650176424,1.0,-0.5957615754179293
ter,-0.4248044362379624,0.6256732783659453,-0.5946265602809288,-0.4591606983170678,-0.5137141119411214,0.28784840129966244,-0.5756565955702979,-0.6203218510963974,-0.6483072438062711,-0.7027359558841103,-0.5957615754179293,1.0
